IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
198.41.222.130,4,4,0.00,91.47,19.29,SIN
108.162.196.199,4,4,0.00,91.80,18.77,SIN
108.162.194.150,4,4,0.00,91.69,18.58,SIN
173.245.58.254,4,4,0.00,81.53,18.49,SIN
108.162.198.147,4,4,0.00,91.73,15.84,NRT
108.162.193.139,4,4,0.00,91.79,13.07,SIN
108.162.195.19,4,4,0.00,91.81,11.25,SIN
198.41.211.131,4,4,0.00,91.34,7.05,SIN
